Linux 4.4.0-53-generic (diptprisrv08) 	12/20/2016 	_x86_64_	(12 CPU)

10:06:55 PM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
10:09:43 PM        11       330      8.81      4.14      1.62         0
10:09:44 PM        11       330      8.75      4.20      1.66         0
10:09:45 PM        11       330      8.75      4.20      1.66         0
10:09:46 PM         7       330      8.75      4.20      1.66         0
10:09:47 PM        10       330      8.75      4.20      1.66         0
10:09:48 PM        11       330      8.75      4.20      1.66         0
10:09:49 PM         9       330      8.77      4.28      1.69         0
10:09:50 PM        11       330      8.77      4.28      1.69         1
10:09:51 PM        11       330      8.77      4.28      1.69         0
10:09:52 PM        12       328      8.77      4.28      1.69         0
10:09:53 PM         5       328      8.77      4.28      1.69         0
10:09:54 PM         1       328      8.38      4.28      1.71         1
10:09:55 PM         2       328      8.38      4.28      1.71         1
10:09:56 PM        11       328      8.38      4.28      1.71         0
10:09:57 PM        11       328      8.38      4.28      1.71         0
10:09:58 PM        10       328      8.38      4.28      1.71         0
10:09:59 PM        11       328      8.19      4.31      1.73         1
10:10:00 PM        12       328      8.19      4.31      1.73         1
10:10:01 PM        11       328      8.19      4.31      1.73         0
10:10:02 PM        11       328      8.19      4.31      1.73         0
10:10:03 PM        10       328      8.19      4.31      1.73         0
10:10:04 PM         1       328      8.50      4.44      1.79         0
10:10:05 PM        10       328      8.50      4.44      1.79         1
10:10:06 PM        10       328      8.50      4.44      1.79         0
10:10:07 PM        10       328      8.50      4.44      1.79         1
10:10:08 PM        11       328      8.50      4.44      1.79         0
10:10:09 PM         9       328      8.62      4.53      1.83         1
10:10:10 PM        10       328      8.62      4.53      1.83         0
10:10:11 PM         7       328      8.62      4.53      1.83         1
10:10:12 PM         2       330      8.62      4.53      1.83         1
10:10:13 PM         9       330      8.62      4.53      1.83         0
10:10:14 PM        10       330      8.73      4.62      1.87         1
10:10:15 PM        11       330      8.73      4.62      1.87         1
10:10:16 PM        11       330      8.73      4.62      1.87         0
10:10:17 PM        11       330      8.73      4.62      1.87         0
10:10:18 PM        11       330      8.73      4.62      1.87         0
10:10:19 PM        10       330      8.91      4.73      1.92         0
10:10:20 PM         9       330      8.91      4.73      1.92         0
10:10:21 PM         9       330      8.91      4.73      1.92         0
10:10:22 PM        11       328      8.91      4.73      1.92         0
10:10:23 PM        11       328      8.91      4.73      1.92         0
10:10:24 PM        11       328      8.92      4.80      1.96         0
10:10:25 PM        10       328      8.92      4.80      1.96         0
10:10:26 PM        11       328      8.92      4.80      1.96         1
10:10:27 PM         9       328      8.92      4.80      1.96         1
10:10:28 PM        10       328      8.92      4.80      1.96         0
10:10:29 PM        11       328      9.01      4.88      2.01         0
10:10:30 PM        12       328      9.01      4.88      2.01         0
10:10:31 PM         6       328      9.01      4.88      2.01         1
10:10:32 PM        10       328      9.01      4.88      2.01         0
10:10:33 PM         8       328      9.01      4.88      2.01         0
10:10:34 PM         6       328      9.09      4.97      2.05         0
10:10:35 PM        10       328      9.09      4.97      2.05         1
10:10:36 PM        11       328      9.09      4.97      2.05         1
10:10:37 PM        11       328      9.09      4.97      2.05         0
10:10:38 PM        10       328      9.09      4.97      2.05         1
10:10:39 PM        10       328      9.08      5.04      2.09         0
10:10:40 PM        10       328      9.08      5.04      2.09         1
10:10:41 PM        11       328      9.08      5.04      2.09         0
10:10:42 PM         8       328      9.08      5.04      2.09         0
10:10:43 PM         2       328      9.08      5.04      2.09         1
10:10:44 PM        11       328      8.75      5.04      2.10         0
10:10:45 PM         8       328      8.75      5.04      2.10         1
10:10:46 PM         9       328      8.75      5.04      2.10         1
10:10:47 PM        10       328      8.75      5.04      2.10         0
10:10:48 PM        11       328      8.75      5.04      2.10         0
10:10:49 PM        11       328      8.69      5.08      2.13         0
10:10:50 PM        10       328      8.69      5.08      2.13         0
10:10:51 PM        10       328      8.69      5.08      2.13         1
10:10:52 PM        11       328      8.69      5.08      2.13         1
10:10:53 PM         7       328      8.69      5.08      2.13         0
10:10:54 PM         9       328      8.72      5.15      2.17         0
10:10:55 PM        10       328      8.72      5.15      2.17         0
10:10:56 PM        10       330      8.72      5.15      2.17         1
10:10:57 PM        10       330      8.72      5.15      2.17         0
10:10:58 PM         3       330      8.72      5.15      2.17         1
10:10:59 PM         2       330      8.42      5.15      2.19         0
10:11:00 PM         1       330      8.42      5.15      2.19         1
10:11:01 PM         1       330      8.42      5.15      2.19         1
10:11:02 PM        10       330      8.42      5.15      2.19         0
10:11:03 PM        11       330      8.42      5.15      2.19         1
10:11:04 PM         8       330      8.30      5.18      2.21         0
10:11:05 PM         4       328      8.30      5.18      2.21         0
10:11:06 PM         2       328      8.30      5.18      2.21         0
10:11:07 PM         9       328      8.30      5.18      2.21         0
10:11:08 PM        10       328      8.30      5.18      2.21         0
10:11:09 PM        10       328      8.44      5.26      2.25         0
10:11:10 PM         9       328      8.44      5.26      2.25         1
10:11:11 PM         2       328      8.44      5.26      2.25         0
10:11:12 PM        10       328      8.44      5.26      2.25         1
10:11:13 PM        11       328      8.44      5.26      2.25         0
10:11:14 PM         9       328      8.41      5.30      2.29         0
10:11:15 PM        10       328      8.41      5.30      2.29         1
10:11:16 PM         9       328      8.41      5.30      2.29         1
10:11:17 PM         8       328      8.41      5.30      2.29         0
10:11:18 PM        10       328      8.41      5.30      2.29         0
10:11:19 PM        10       328      8.61      5.40      2.33         0
10:11:20 PM        10       328      8.61      5.40      2.33         0
10:11:21 PM        11       328      8.61      5.40      2.33         0
10:11:22 PM        10       328      8.61      5.40      2.33         0
10:11:23 PM         5       328      8.61      5.40      2.33         0
10:11:24 PM         6       328      8.32      5.39      2.35         1
10:11:25 PM        11       328      8.32      5.39      2.35         1
10:11:26 PM        11       328      8.32      5.39      2.35         1
10:11:27 PM         9       328      8.32      5.39      2.35         0
10:11:28 PM         6       328      8.32      5.39      2.35         1
10:11:29 PM        11       328      8.22      5.42      2.37         1
10:11:30 PM        12       328      8.22      5.42      2.37         1
10:11:31 PM        10       328      8.22      5.42      2.37         0
10:11:32 PM        10       328      8.22      5.42      2.37         0
10:11:33 PM        10       328      8.22      5.42      2.37         0
10:11:34 PM        10       328      8.36      5.50      2.41         0
10:11:35 PM         8       328      8.36      5.50      2.41         1
10:11:36 PM        10       328      8.36      5.50      2.41         0
10:11:37 PM        11       328      8.36      5.50      2.41         0
10:11:38 PM        11       328      8.36      5.50      2.41         0
10:11:39 PM        12       330      8.09      5.49      2.43         0
10:11:40 PM        10       330      8.09      5.49      2.43         0
10:11:41 PM        11       330      8.09      5.49      2.43         0
10:11:42 PM        11       330      8.09      5.49      2.43         0
10:11:43 PM        10       330      8.09      5.49      2.43         0
10:11:44 PM        11       330      8.32      5.58      2.47         0
10:11:45 PM        10       330      8.32      5.58      2.47         0
10:11:46 PM         9       330      8.32      5.58      2.47         1
10:11:47 PM        10       330      8.32      5.58      2.47         0
10:11:48 PM        10       328      8.32      5.58      2.47         0
10:11:49 PM         7       328      8.38      5.64      2.51         0
10:11:50 PM        10       328      8.38      5.64      2.51         0
10:11:51 PM        11       328      8.38      5.64      2.51         0
10:11:52 PM        10       328      8.38      5.64      2.51         0
10:11:53 PM        10       328      8.38      5.64      2.51         0
10:11:54 PM        10       328      8.51      5.71      2.55         0
10:11:55 PM         4       328      8.51      5.71      2.55         1
10:11:56 PM         4       327      8.51      5.71      2.55         0
10:11:57 PM        10       327      8.51      5.71      2.55         1
10:11:58 PM        10       327      8.51      5.71      2.55         0
10:11:59 PM        11       327      8.07      5.66      2.55         0
10:12:00 PM        13       327      8.07      5.66      2.55         0
10:12:01 PM         6       327      8.07      5.66      2.55         1
10:12:02 PM         1       327      8.07      5.66      2.55         0
10:12:03 PM         2       327      8.07      5.66      2.55         1
10:12:04 PM         1       327      7.66      5.62      2.55         1
10:12:05 PM         1       327      7.66      5.62      2.55         0
10:12:06 PM         1       327      7.66      5.62      2.55         0
10:12:07 PM         2       327      7.66      5.62      2.55         0
10:12:08 PM         1       330      7.66      5.62      2.55         0
10:12:09 PM         1       330      7.13      5.54      2.55         0
10:12:10 PM         0       331      7.13      5.54      2.55         0
10:12:11 PM         2       333      7.13      5.54      2.55         0
10:12:12 PM         2       333      7.13      5.54      2.55         0
10:12:13 PM         2       333      7.13      5.54      2.55         0
10:12:14 PM         2       333      6.72      5.48      2.54         0
10:12:15 PM         2       333      6.72      5.48      2.54         1
10:12:16 PM         2       333      6.72      5.48      2.54         0
10:12:17 PM         2       333      6.72      5.48      2.54         0
10:12:18 PM         2       333      6.72      5.48      2.54         0
10:12:19 PM         3       333      6.34      5.42      2.54         0
10:12:20 PM         2       334      6.34      5.42      2.54         1
10:12:21 PM         2       334      6.34      5.42      2.54         0
10:12:22 PM         2       334      6.34      5.42      2.54         0
10:12:23 PM         1       334      6.34      5.42      2.54         0
10:12:24 PM         2       334      5.99      5.37      2.54         0
10:12:25 PM         1       334      5.99      5.37      2.54         0
10:12:26 PM         1       334      5.99      5.37      2.54         0
10:12:27 PM         3       334      5.99      5.37      2.54         0
10:12:28 PM         3       334      5.99      5.37      2.54         0
10:12:29 PM         4       332      5.59      5.29      2.53         0
10:12:30 PM         2       332      5.59      5.29      2.53         0
10:12:31 PM         0       332      5.59      5.29      2.53         1
10:12:32 PM         3       332      5.59      5.29      2.53         0
10:12:33 PM         2       332      5.59      5.29      2.53         0
10:12:34 PM         5       332      5.30      5.24      2.53         0
10:12:35 PM         2       332      5.30      5.24      2.53         0
10:12:36 PM         2       332      5.30      5.24      2.53         1
10:12:37 PM         2       332      5.30      5.24      2.53         0
10:12:38 PM         2       332      5.30      5.24      2.53         0
10:12:39 PM         2       332      4.88      5.15      2.51         0
10:12:40 PM         1       332      4.88      5.15      2.51         0
10:12:41 PM         1       332      4.88      5.15      2.51         0
10:12:42 PM         2       332      4.88      5.15      2.51         0
10:12:43 PM         1       332      4.88      5.15      2.51         0
10:12:44 PM         4       332      4.49      5.07      2.50         0
10:12:45 PM         2       332      4.49      5.07      2.50         0
10:12:46 PM         2       332      4.49      5.07      2.50         0
10:12:47 PM         1       332      4.49      5.07      2.50         1
10:12:48 PM         1       332      4.49      5.07      2.50         3
10:12:49 PM         1       332      4.53      5.06      2.51         0
10:12:50 PM         1       332      4.53      5.06      2.51         0
10:12:51 PM         3       332      4.53      5.06      2.51         0
10:12:52 PM         1       332      4.53      5.06      2.51         0
10:12:53 PM         1       332      4.53      5.06      2.51         1
10:12:54 PM         1       332      4.25      5.00      2.50         0
10:12:55 PM         1       332      4.25      5.00      2.50         0
10:12:56 PM         1       332      4.25      5.00      2.50         0
10:12:57 PM         1       332      4.25      5.00      2.50         0
10:12:58 PM         1       332      4.25      5.00      2.50         1
10:12:59 PM         1       332      3.99      4.93      2.50         0
10:13:00 PM         1       332      3.99      4.93      2.50         0
10:13:01 PM         1       332      3.99      4.93      2.50         1
10:13:02 PM         1       332      3.99      4.93      2.50         0
10:13:03 PM         1       334      3.99      4.93      2.50         0
10:13:04 PM         1       334      3.83      4.88      2.49         0
10:13:05 PM         1       334      3.83      4.88      2.49         0
10:13:06 PM         1       334      3.83      4.88      2.49         0
10:13:07 PM         1       334      3.83      4.88      2.49         1
10:13:08 PM         2       334      3.83      4.88      2.49         0
10:13:09 PM         1       334      3.60      4.82      2.48         0
10:13:10 PM         1       334      3.60      4.82      2.48         0
10:13:11 PM         1       334      3.60      4.82      2.48         0
10:13:12 PM         1       332      3.60      4.82      2.48         1
10:13:13 PM         1       332      3.60      4.82      2.48         0
10:13:14 PM         1       332      3.39      4.75      2.48         0
10:13:15 PM         1       332      3.39      4.75      2.48         0
10:13:16 PM         1       332      3.39      4.75      2.48         0
10:13:17 PM         1       332      3.39      4.75      2.48         1
10:13:18 PM         1       332      3.39      4.75      2.48         0
10:13:19 PM         2       332      3.20      4.69      2.47         0
10:13:20 PM         1       332      3.20      4.69      2.47         0
10:13:21 PM         1       332      3.20      4.69      2.47         0
10:13:22 PM         1       332      3.20      4.69      2.47         1
10:13:23 PM         1       332      3.20      4.69      2.47         0
10:13:24 PM         1       332      3.02      4.63      2.46         0
